Id,Name,PairSeatId,ViewModelKey,ViewSpriteKey,InformationStrings,ServiceBonusMoney,TextSpeed
0,0,0,M_Ai00,S_Ai00,ëãç€Ç™ó«Ç¢|èoå˚Ç…ãﬂÇ¢ÇŸÇ§Ç™ó«Ç¢0,0,
1,Chara1,0,M_Ai01,S_Ai01,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†|Ç§Ç§Ç§Ç§Ç§Ç§Ç§Ç§|Ç¢Ç¢Ç¢Ç¢Ç¢Ç¢Ç¢Ç¢Ç¢Ç¢1,0,
2,Chara2,0,M_Ai02,S_Ai02,ëãç€Ç™ó«Ç¢|èoå˚Ç…ãﬂÇ¢ÇŸÇ§Ç™ó«Ç¢2,0,
3,Chara3,0,M_Ai03,S_Ai03,0|033,0,
4,Chara4,0,M_Ai04,S_Ai04,0|044,0,
5,Chara5,0,M_Ai05,S_Ai05,0|055,0,
6,Chara6,0,M_Ai06,S_Ai06,0|066,0,
7,Chara7,0,M_Ai07,S_Ai07,0|077,0,
8,Chara8,0,M_Ai08,S_Ai08,0|088,0,
9,Chara9,0,M_Ai09,S_Ai09,0|099,0,
10,Chara10,0,M_Ai10,S_Ai10,0|1010,0,
11,Chara11,0,M_Ai11,S_Ai11,0|1111,0,
12,Chara12,0,M_Ai12,S_Ai12,0|1212,0,
13,Chara13,0,M_Ai13,S_Ai13,0|1313,0,
14,Chara14,0,M_Ai14,S_Ai14,0|1414,0,
15,Chara15,0,M_Ai15,S_Ai15,0|1515,0,
16,Chara16,0,M_Ai16,S_Ai16,0|1616,0,
17,Chara17,0,M_Ai17,S_Ai17,0|1717,0,
18,Chara18,0,M_Ai18,S_Ai18,0|1818,0,
19,Chara19,0,M_Ai19,S_Ai19,0|1919,0,
20,Chara20,0,M_Ai20,S_Ai20,0|2020,0,
